Nro;ID_PFI2023;ORDEN DE PRIORIZACIÓN DE LA JURISDICCIÓN;ID_JURISDICCION;REGION;JURISDICCION;TITULO;INSTITUCION EJECUTORA;INSTITUCION BENEFICIARIA;CARACTER DE LA INSTITUCION BENEFICIARIA;MONTO MINCYT SOLICITADO;MONTO CONTRAPARTE ;MONTO TOTAL PROYECTO;RELACION MINCYT;MONTO RUBRO RECURSOS HUMANOS;MONTO BIENES DE CAPITAL;MONTO FORMULACION PY UVT;PERFIL INSTITUCIONAL del BENEFICIARIO;OSE PRINCIPAL
66;CR-10-PFI-2023;10;CR;NEA;CORRIENTES;Utilización de energías renovables para optimizar el proceso de extracción de miel en cooperativas apícolas de la Provincia de Corrientes.;FaCENA – UNNE (Grupo en Energías Renovables);Universidad Nacional del Nordeste;PUBLICO;10000000;2520000;12520000;0.798722044728435;0;4680411;200000;Univ Pub;06-Producción y tecnología industrial
67;CR-11-PFI-2023;11;CR;NEA;CORRIENTES;Generación de paneles solares mediante el reciclado de PETS.;INTI - Instituto Nacional de Tecnología Industrial;MINISTERIO DE EDUCACION DE CORRIENTES- Escuela N 727 General Juan Madariaga . Paraje;PUBLICO;11100000;2240000;13340000;0.83208395802099;0;2000000;640000;Org Pub;02-Medio Ambiente
68;CR-12-PFI-2023;12;CR;NEA;CORRIENTES;Mejoramiento de suelos degradados por la producción de tomates cultivados bajo cubierta mediante la incorporación de enmiendas orgAnicas estabilizadas;"Instituto de Investigaciones Científicas (IDIC) – Fundación Jean Piaget
para el Desarrollo de la Educación y la Cultura del Nordeste - Universidad de la Cuenca del Plata.";"Instituto Nacional de
Tecnología Agropecuaria (INTA) Agencia de Extensión Rural (AER – GOYA)";PUBLICO;10000000;6319662;16319662;0.612757788733615;0;5000000;0;INTA;08-Agricultura
69;CR-13-PFI-2023;13;CR;NEA;CORRIENTES;Unidad de generación de energía alternativa para el Parque Tecnológico Universidad-Provincia de Corrientes;"UNIVERSIDAD NACIONAL DEL NORDESTE - Secretaría General de
Relaciones Interinstitucionales.";Universidad Nacional del Nordeste ;PUBLICO;10000000;3720000;13720000;0.728862973760933;0;4300000;0;Univ Pub;05-Energía
70;CR-14-PFI-2023;14;CR;NEA;CORRIENTES;Parque IBERA_Centro digital solar: Energía y conectividad para turistas que visitan los Esteros del IberA.;UNNE – FACENA – GRUPO GER;Universidad Nacional del Nordeste ;PUBLICO;14000000;3810000;17810000;0.786075238629983;0;5000000;0;Univ Pub;04-Transporte, telecomunicación y otras infraestructuras
71;CR-15-PFI-2023;15;CR;NEA;CORRIENTES;LABORATORIO DE EVALUACIÓN DE SOFTWARE Y SISTEMAS INFORMATICOS;FaCENA – UNNE;MINISTERIO DE HACIENDA Y FINANZAS DE LA PROVINCIA DE CORRIENTES DIRECCION DE ADMINISTRACION -SUBSECRETARIA DE SISTEMAS Y TECNOLOGÍAS DE LA INFORMACIÓN;PUBLICO;10000000;2500000;12500000;0.8;0;2900000;0;Org Pub;05-Energía
72;CR-16-PFI-2023;16;CR;NEA;CORRIENTES;Carbono Verde: Maximizando la Captura y Monetización del Potencial Forestal Urbano;Universidad Nacional del Nordeste (UNNE);Municipalidad de la Ciudad de Corrientes (MCC);PUBLICO;10000000;2250000;12250000;0.816326530612245;0;4000000;200000;Municipio;02-Medio Ambiente
73;CR-17-PFI-2023;17;CR;NEA;CORRIENTES;Desarrollo de un protocolo de inmunización de bovinos adultos  contra el complejo tristeza bovina;INTA - CENTRO REGIONAL CORRIENTES;Instituto Nacional de Tecnologia Agropecuaria (INTA);PUBLICO;13100000;7456000;20556000;0.637283518194201;0;6500000;0;INTA;02-Medio Ambiente
74;ER-1-PFI-2023;1;ER;CENTRO;ENTRE RIOS;"Hacia el diseño de sistemas agrícolas sostenibles en Entre RIOs: en búsqueda de
la neutralidad de carbono";" Facultad de Ciencias Agropecuarias, UNIVERSIDAD
NACIONAL DE ENTRE RIOS
";UNIVERSIDAD NACIONAL DE ENTRE RIOS;PUBLICO;13197000;4267039;17464039;0.755667116867982;4267039;6330000;0;Univ Pub;08-Agricultura
75;ER-2-PFI-2023;2;ER;CENTRO;ENTRE RIOS;"Diseño, Desarrollo y Validación de Simuladores PediAtricos de Alta Fidelidad para
entrenamiento del Personal de Enfermería";"Centro de Investigaciones - Facultad de Ciencias de
la Vida y la Salud";Universidad Autónoma de Entre RIOs (UADER)    Facultad de Ciencias de la Vida y la Salud (FCVyS);PUBLICO;25000000;10608000;35608000;0.70208941810829;10608000;12000000;500000;Univ Pub;07-Salud
76;ER-3-PFI-2023;3;ER;CENTRO;ENTRE RIOS;"AnAlisis genómico de la calidad de carne de cerdos de Entre RIOs. Construcción de
una base de datos para la aplicación de tecnología NIR.";UNIVERSIDAD NACIONAL DE ENTRE RIOS;UNIVERSIDAD NACIONAL DE ENTRE RIOS;PUBLICO;16815000;4405866;21220866;0.792380480608096;4405866;5450000;0;Univ Pub;08-Agricultura
77;ER-4-PFI-2023;4;ER;CENTRO;ENTRE RIOS;"Valorización de residuos de la industria citrícola de Entre RIOs mediante la extracción de
compuestos bioactivos a partir de la cAscara. AnAlisis de residuos de pesticidas en el extracto,
para garantizar la inocuidad del producto obtenido.";UNIVERSIDAD NACIONAL DE ENTRE RIOS;UNIVERSIDAD NACIONAL DE ENTRE RIOS;PUBLICO;20000000;7246144;27246144;0.734048825404432;7246144;9300000;0;Univ Pub;06-Producción y tecnología industrial
78;ER-5-PFI-2023;5;ER;CENTRO;ENTRE RIOS;"DESARROLLO DE TECNOLOGÍA SOSTENIBLE Y DE SISTEMA DE MONITOREO REMOTO
DE EFLUENTES LACTEOS QUE CONTRIBUYAN A LA SOSTENIBILIDAD AMBIENTAL";UNIVERSIDAD NACIONAL DE ENTRE RIOS - Facultad de Ciencias de la Alimentación;UNIVERSIDAD NACIONAL DE ENTRE RIOS;PUBLICO;18076857;4600830;22677687;0.79712084393792;4600830;8743800;348856;Univ Pub;02-Medio Ambiente
79;ER-6-PFI-2023;6;ER;CENTRO;ENTRE RIOS;"Implementación de un laboratorio de extracción, anAlisis de aceites y derivados de Cannabis,
destinado a cultivadores solidarios y ONGs inscriptos en el Registro del Programa de Cannabis
(REPROCANN).";UNIVERSIDAD NACIONAL DE ENTRE RIOS;UNIVERSIDAD NACIONAL DE ENTRE RIOS;PUBLICO;17280000;5573629;22853629;0.75611623869452;5573629;8640000;0;Univ Pub;07-Salud
80;ER-7-PFI-2023;7;ER;CENTRO;ENTRE RIOS;"Obtención de ingredientes alternativos a partir de tallos y raíces de cAñamo como
sustitutos alimenticios en productos snack extruidos de harinas de arroz";UNIVERSIDAD NACIONAL DE ENTRE RIOS;UNIVERSIDAD NACIONAL DE ENTRE RIOS;PUBLICO;21680000;5460000;27140000;0.798820928518791;5460000;10840000;0;Univ Pub;06-Producción y tecnología industrial
81;ER-8-PFI-2023;8;ER;CENTRO;ENTRE RIOS;"La aplicación de la industria 4.0 para la optimización del proceso de sprayado de
edulcorante de stevia orgAnica";"Facultad de Ciencias y Tecnología - UNIVERSIDAD
AUTÓNOMA DE ENTRE RIOS (UADER)";ORIGINS S.A.;PRIVADO;25000000;10950000;35950000;0.695410292072323;0;9050000;0;Emp Priv;06-Producción y tecnología industrial
82;ER-9-PFI-2023;9;ER;CENTRO;ENTRE RIOS;"Desarrollo de biofertilizantes y/o bioestimulantes producidos a partir de residuos de la
Industria frigorífica bovina en la provincia de Entre RIOs.
";;Universidad Autónoma de Entre RIOs;PUBLICO;20254328;9360000;29614328;0.683936775468955;9360000;7347328;400000;Univ Pub;12-Producción general de conocimiento
83;ER-10-PFI-2023;10;ER;CENTRO;ENTRE RIOS;"“Renaturalización y refuncionalización de cuencas de Arroyos urbanos. Infraestructura
verde y azul: espacios verdes públicos híbridos""";Facultad de Ciencias Agropecuarias;UNIVERSIDAD NACIONAL DE ENTRE RIOS y MUNICIPIO DE SAN BENITO;PUBLICO;22696782;8700365;31397147;0.722893134207385;8700365;7801500;0;Univ Pub;02-Medio Ambiente
84;FO-1-PFI-2023;1;FO;NEA;FORMOSA;Producción de material de propagación de mandioca de sanidad controlada para el mejoramiento tecnológico y productivo del cultivo en la provincia de Formosa: Una tecnología de vanguardia al servicio de la agricultura familiar.;Asociación Cooperadora del Proyectode Desarrollo Centro-Oeste de la Provincia de Formosa (PRODECO);Asociación Cooperadora del Proyecto de Desarrollo Centro-Oeste de la Provincia de Formosa (PRODECO);PUBLICO;24837730;10634000;35471730;0.700211971617962;4522000;11413345;0;ESFL;08-Agricultura
85;FO-2-PFI-2023;2;FO;NEA;FORMOSA;Producción sostenible de biolarvicida `para combatir el aedes aegypti, vector del dengue, chicungunya y zica en el norte Argentino, una solución para la emergencia sanitaria.;Universidad Provincial de Laguna Blanca ;Laformed S.A;PRIVADO;39997927;17700256;57698183;0.693226804039912;12144746;18411953;630000;Emp Priv;07-Salud
86;FO-3-PFI-2023;3;FO;NEA;FORMOSA;Producción en invernadero PCT&I: Equipamiento para producción e investigaciónde cultivos de interEs agronómico.;IPF - Institución PolitEcnico Formosa; Institución PolitEcnico Formosa;PUBLICO;11260000;7194000;18454000;0.610165817708898;2520000;5060000;0;Org Pub;02-Medio Ambiente
87;FO-4-PFI-2023;4;FO;NEA;FORMOSA;Formosa Inspira II, consolidando la Educación Tecnológica basada en competencias.;Unidad Provincial de Sistemas y Tecnologías de las Información(UPSTI);Recursos y Energía Formosa S.A;PRIVADO;40000000;16048090;56048090;0.713672847727728;6864000;19780000;640000;Emp Priv;06-Producción y tecnología industrial
88;FO-5-PFI-2023;5;FO;NEA;FORMOSA;Profilaxis y tratamiento de la tripanosomiasis y tristeza bovina:incorporación de equipos y puesta a punto de procesos para optimizar el diagnóstico.;Centro de Investigaciones y Transferencia de Formosa;Centro de Investigaciones y Transferencia de Formosa (CIT-FORMOSA);PUBLICO;27477657;11883883;39361540;0.698083891026621;3120000;7535057;400000;CONICET;06-Producción y tecnología industrial
89;FO-6-PFI-2023;6;FO;NEA;FORMOSA;I+D Aplicada a drones de usos multiples ;EMPRESA PROVICIONAL DE INNOVACIÓN  Y CONOCIMIENTO ABIERTO S.A..P.E.M;EMPRESA PROVICIONAL DE INNOVACIÓN  Y CONOCIMIENTO ABIERTO S.A..P.E.M;PRIVADO;56210000;24238000;80448000;0.698712211614956;2075000;27805000;0;Emp Priv;06-Producción y tecnología industrial
90;JU-1-PFI-2023;1;JU;NOA;JUJUY;Laboratorio de Criminalística y Ciencias Forenses del Instituto Universitario Provincial de Seguridad de Jujuy ;INSTITUTO UNIVERSITARIO PROVINCIAL DE SEGURIDAD;INSTITUTO UNIVERSITARIO PROVINCIAL DE SEGURIDAD;PUBLICO;30000000;7500000;37500000;0.8;3750000;13615000;0;Org Pub;09-Educación
91;JU-2-PFI-2023;2;JU;NOA;JUJUY;"El patrimonio en red. Conformación de un Repositorio Digital como herramienta de articulación para la Gestión, Investigación y Divulgación del patrimonio arqueológico de la provincia de Jujuy
";INSTITUTO DE DATACION Y ARQUEOMETRIA;INSTITUTO DE DATACION Y ARQUEOMETRIA;PUBLICO;30000000;7500000;37500000;0.8;3750000;13000000;640000;CONICET;10-Cultura, recreación, religión y medios de comunicación
92;JU-3-PFI-2023;3;JU;NOA;JUJUY;Mejora de la calidad de las artesanías textiles Puneñas garantizando un insumo proveniente de una esquila mecAnica calificada y un adecuado proceso de agregado de valor;INTI;Instituto Nacional de tecnologia Industrial (INTI);PUBLICO;20000000;8268600;28268600;0.707498779564605;8010000;0;550000;INTI;06-Producción y tecnología industrial
93;JU-4-PFI-2023;4;JU;NOA;JUJUY;Biodiversidad, Monitores Ambientales y Ciencia Ciudadana: Fortaleciendo el Vínculo Biocultural en el Parque Xibi Xibi, San Salvador de Jujuy;INSTITUTO DE ECORREGIONES ANDINAS;"INSTITUTO DE ECORREGIONES ANDINAS
MUNICIPALIDAD DE SAN SALVADOR DE JUJUY";PUBLICO;15000000;3750000;18750000;0.8;1875003;7500000;125000;CONICET;02-Medio Ambiente
94;JU-5-PFI-2023;5;JU;NOA;JUJUY;RED AGROCLIMATICA COMO HERRAMIENTA PARA EL DESARROLLO DE UNA VITIVINICULTURA DE PRECISIÓN;UNIVERSIDAD NACIONAL DE JUJUY;SECRETARIA DE VITIVINICULTURA;PUBLICO;20000000;6764000;26764000;0.747272455537289;4524000;10000000;0;Org Pub;08-Agricultura
95;JU-6-PFI-2023;6;JU;NOA;JUJUY;CENTRO TECNOLOGICO PARA LA IMPLEMENTACION DE LAS BUENAS PRACTICAS AGRICOLAS;UNIVERSIDAD NACIONAL DE JUJUY;UNIVERSIDAD NACIONAL DE JUJUY;PUBLICO;15000000;6290000;21290000;0.704556129638328;2760000;5740000;300000;Univ Pub;02-Medio Ambiente
96;JU-7-PFI-2023;7;JU;NOA;JUJUY;Reciclado mecAnico de plAstico, transferencia tecnológica en el marco de la economía circular y la transición justa en la Provincia de Jujuy;INTI;MINISTERIO DE AMBIENTE Y CAMBIO CLIMATICO DE LA PROVINCIA DE JUJUY;PUBLICO;20000000;8395050;28395050;0.704348117013353;1335000;9245000;0;Org Pub;02-Medio Ambiente
97;JU-8-PFI-2023;8;JU;NOA;JUJUY;UTILIZACIÓN DE HARINAS ENTERAS DE QUÍNOA Y MAÍZ CULLI EN LA ELABORACIÓN DE TAPAS PARA EMPANADAS ;UNIVERSIDAD NACIONAL DE JUJUY;FABRICA DE PASTAS ARANDA;PRIVADO;15000000;6750000;21750000;0.689655172413793;0;7500000;0;Emp Priv;06-Producción y tecnología industrial
98;JU-9-PFI-2023;9;JU;NOA;JUJUY;Sistema de tratamiento y aprovechamiento energEtico de efluentes de la producción porcina de escuelas AgrotEcnicas provinciales;INTI;Ministerio de Educación de la Provincia de Jujuy;PUBLICO;10000000;2500000;12500000;0.8;1500000;0;250000;Org Pub;02-Medio Ambiente
99;JU-10-PFI-2023;10;JU;NOA;JUJUY;Tecnologías en base a energía solar y forraje verde hidropónico para el fortalecimiento de los sistemas caprinos familiar de la Quebrada de Humahuaca;INTA;COMISION MUNICIPAL TUMBAYA;PUBLICO;10000000;3050000;13050000;0.766283524904215;2100000;5000000;0;Municipio;05-Energía
100;JU-11-PFI-2023;11;JU;NOA;JUJUY;Observatorio antropomEtrico-nutricional para el monitoreo y la prevención de la obesidad y otras enfermedades crónicas no transmisibles en el Municipio de PalpalA;INSTITUTO DE ECORREGIONES ANDINAS ;MUNICIPALIDAD DE PALPALA;PUBLICO;15000000;3966613;18966613;0.790863397697839;2544000;7487000;0;Municipio;07-Salud
101;LP-1-PFI-2023;1;LP;PATAGONIA;LA PAMPA;Modulo de produccion escalable y controlada para la obtencion de derivados medicinales de cannabis en la provincia de La Pampa ;Facultad de Agronomia de la Universidad Nacional de La Pampa;Universidad Nacional de La Pampa;PUBLICO;50000000;12777144;62777144;0.796468217795955;12777144;25000000;0;Univ Pub;06-Producción y tecnología industrial
102;LP-2-PFI-2023;2;LP;PATAGONIA;LA PAMPA;Locus Niger. Ciencia, arte y tecnologia en experiencias abiertas en salud comunitaria ;Universidad Nacional de La Pampa;Universidad Nacional de La Pampa;PUBLICO;30000000;8117946;38117946;0.787030864674608;8117946;15000000;640000;Univ Pub;07-Salud
103;LP-3-PFI-2023;3;LP;PATAGONIA;LA PAMPA;"""Eco- asfalto ""Un camino sustentable hacia la reutilizacion de plasticos recuperados de RSU para la produccion de pavimento""";Universidad Nacional de La Pampa;Universidad Nacional de La Pampa;PUBLICO;30000000;8160000;38160000;0.786163522012579;8160000;15000000;400000;Univ Pub;02-Medio Ambiente
104;LP-4-PFI-2023;4;LP;PATAGONIA;LA PAMPA;SIROS- Sistema robotizado de suministro de alimentos para la mejora y la optimizacion del manejo integral de comederos de mediccion de consumo;INTA ;Intituto Nacional de Tecnologia Agropecuaria -INTA-;PUBLICO;40000000;10620000;50620000;0.790201501382853;10620000;23000000;640000;INTA;06-Producción y tecnología industrial
106;LP-5-PFI-2023;5;LP;PATAGONIA;LA PAMPA ;CAPRI PAMPA: Enmiendas orgAnicas comunales caprinas del oeste profundo pampeano.;;Municipalidad de Algarrobo del Aguila;PUBLICO;20000000;4855200;24855200;0.804660594161383;4855200;10000000;400000;Municipio;06-Producción y tecnología industrial
105;LP-6-PFI-2023;6;LP;PATAGONIA;LA PAMPA;Optimizacion y digitalizacion de procesos de certififacion para la mejora de calidad de alimentos en la industria lactea pampeana;Facultad de Ciencias Veterinarias (UNLPam);UNIVERSIDAD NACIONAL DE LA PAMPA-LABCAP (Laboratorio de calidad de alimentos pampeanos);PUBLICO;30000000;10012040;40012040;0.749774317930303;10012040;7330000;0;Univ Pub;06-Producción y tecnología industrial
107;LR-1-PFI-2023;1;LR;NOA;LA RIOJA;Desarrollo de un sistema de monitoreo y procesamiento de datos y variables ambientales en regiones con potencialidad en Litio y otros minerales como recurso estratEgico en La Rioja;"INSTITUTO REGIONAL DE PLANIFICACION,
CONTROL Y SERVICIOS AMBIENTALES (IREPCYSA)";DIRECCION GENERAL DE MINERIA;PUBLICO;20000000;7440000;27440000;0.728862973760933;7440000;10000000;400000;Org Pub;02-Medio Ambiente
108;LR-2-PFI-2023;2;LR;NOA;LA RIOJA;Diseñando el futuro: Laboratorio de Fabricación Digital 3D para la creación de prototipos funcionales;"Facultad Regional La Rioja- Universidad
Tecnológica Nacional (UTN)";Ministerio de Trabajo, Empleo e Industria;PUBLICO;20000000;5022000;25022000;0.799296618975302;5022000;10000000;400000;Org Pub;12-Producción general de conocimiento
109;LR-3-PFI-2023;3;LR;NOA;LA RIOJA;"MUSEO INTERACTIVO ITINERANTE DE CIENCIAS – FORTALECIMIENTO DEL SISTEMA
EDUCATIVO DE LA RIOJA (DESPERTAR VOCACIONES CIENTIFICAS)";FACULTAD REGIONAL LA RIOJA UTN;Universidad Tecnologica Nacional- Facultad regional La Rioja ;PUBLICO;20000000;5400000;25400000;0.78740157480315;5400000;10000000;400000;Univ Pub;09-Educación
110;LR-4-PFI-2023;4;LR;NOA;LA RIOJA;Semillero de especies forrajeras nativas.;INTA;Secretaría de Ganadería;PUBLICO;16610000;2400000;19010000;0.873750657548659;2400000;7600000;250000;Org Pub;08-Agricultura
